,user,text,favorite_count,retweet_count,created_at
111,JeffBezos,"A lot to still prove out here for sure, but the Rivian team is world class, and @RJScaringe is one of the greatest entrepreneurs I’ve ever met. 

Now, RJ, where are our vans?!

https://t.co/5rdnuEw2mm",3002,258,2021-10-07 01:39:48+00:00
112,JeffBezos,"New @007 film is amazing and fun. Loved it, and I miss Daniel Craig already. Can’t wait to see who Barbara Broccoli and Michael Wilson pick next. https://t.co/SAe51Hcrxz",4360,287,2021-10-06 14:59:55+00:00
113,JeffBezos,"No, just simple admiration. https://t.co/uLeWcB8xrn",4258,206,2021-10-03 17:31:55+00:00
114,JeffBezos,".@ReedHastings and Ted Sarandos and the team at @Netflix get it right so often. Their internationalization strategy isn’t easy, and they’re making it work. Impressive and inspiring. (And I can’t wait to watch the show.) https://t.co/yFw7TGyc1U",7150,719,2021-10-02 22:39:18+00:00
115,JeffBezos,(2/2) The two articles are only 8 months apart. https://t.co/EbTVhnrJpA,1600,106,2021-10-01 13:02:13+00:00
116,JeffBezos,"After many failures and setbacks in gaming we have a success. So proud of the team for the persistence. View setbacks as helpful obstacles that drive learning. Whatever your goals are, don’t give up no matter how hard it gets. @playnewworld (1/2) https://t.co/LK0VUdCSS9",5596,562,2021-10-01 13:02:13+00:00
117,JeffBezos,"Good exchange of ideas on climate change with a lot of passion around preserving and restoring the natural world. There might also have been a side conversation about who’s better — Asimov or Clarke. The meeting was useful and enjoyable. Thank you, @BorisJohnson. https://t.co/Vkx7MEPbvi",7157,401,2021-09-20 22:47:01+00:00
118,JeffBezos,Congratulations to @ElonMusk and the @SpaceX team on their successful Inspiration4 launch last night. Another step towards a future where space is accessible to all of us.,128955,7301,2021-09-16 16:08:08+00:00
119,JeffBezos,"Discussing climate, sustainability, and preserving the natural world with President @EmmanuelMacron today in Paris. #BezosEarthFund #ClimatePledge https://t.co/1WJe18nc3l",32235,2557,2020-02-28 17:17:58+00:00
120,JeffBezos,"I just took a DNA test, turns out I’m 100% @lizzo’s biggest fan. #SBLIV https://t.co/RhOduXk8Qd",119432,13728,2020-02-03 02:16:32+00:00
121,JeffBezos,"Hey, Alexa — show everyone our upcoming Super Bowl ad. Thanks @TheEllenShow and @PortiaDeRossi! https://t.co/U8Qua3dhwg",21698,2751,2020-01-29 17:30:21+00:00
122,JeffBezos,#Jamal https://t.co/8ej1rUBXVb,35691,5152,2020-01-22 19:03:20+00:00
123,JeffBezos,"Hey, India. We’re rolling out our new fleet of electric delivery rickshaws. Fully electric. Zero carbon. #ClimatePledge https://t.co/qFXdZOsY4y",74545,9750,2020-01-20 03:04:23+00:00
124,JeffBezos,Proud of the program we have in India to hire and train deaf associates at our delivery stations. Managers learn basic sign language to be able to communicate. Meeting this group was a moving experience for me. https://t.co/gGm0dvCjkX,28175,2518,2020-01-19 11:53:39+00:00
125,JeffBezos,"Amazon partners with thousands of kirana stores all over India as delivery points. It’s good for customers, and it helps the shop owners earn additional income. Got to visit one in Mumbai. Thank you, Amol, for letting me deliver a package. #MSME https://t.co/VpoHUoJOIH",27306,2479,2020-01-18 07:52:25+00:00
126,JeffBezos,Lots of fun on stage with @iamsrk and Zoya Akhtar. https://t.co/wdZ2tEsySX,33012,5131,2020-01-17 11:46:23+00:00
127,JeffBezos,Grabbing a quick selfie with @AmitAgarwal at India’s small business summit. Everyone squeeze in a little tighter! #amazonsmbhav https://t.co/IvsciKDyiu,13311,752,2020-01-16 10:11:59+00:00
128,JeffBezos,Dynamism. Energy. Democracy. #IndianCentury https://t.co/U6cKJO60Rz,19864,3512,2020-01-15 14:11:04+00:00
129,JeffBezos,"Just landed in India and spent a beautiful afternoon paying my respects to someone who truly changed the world. “Live as if you were to die tomorrow. Learn as if you were to live forever."" - Mahatma Gandhi. https://t.co/xDXAT9cBgf",59129,8239,2020-01-14 15:04:42+00:00
130,JeffBezos,Toured @LeeMontessori in Washington D.C. with a team from Day 1 Academies. It was great to meet these kids — they’re energetic and energizing. Lee is doing an amazing job unleashing their love of learning. https://t.co/1eLIFcPeGD,5770,502,2019-12-17 23:07:07+00:00
131,JeffBezos,Picture perfect flight @BlueOrigin. And this vehicle has now flown to space &amp; back six times making this a new milestone. We carried 23 payloads today including thousands of postcards from kids all over the world for @ClubforFuture. Keep them coming kids &amp; we’ll keep flying them! https://t.co/ZrjaknJh1t,11426,1406,2019-12-12 03:21:03+00:00
